,n_features,k_value,n_folds,avg_rmse,std_rmse
124,3.0,17.0,10.0,11.457992670307041,1.355380698968101
125,3.0,18.0,10.0,11.431107698816588,1.3594694772257134
126,3.0,19.0,10.0,11.414733150877542,1.3259531567194789
127,3.0,20.0,10.0,11.397289492256288,1.3188577497358966
128,3.0,21.0,10.0,11.376490903628252,1.3360460450919913
129,3.0,22.0,10.0,11.362401826313121,1.3307845895609103
130,3.0,23.0,10.0,11.349564119134518,1.3386374812668986
131,3.0,24.0,10.0,11.332759701592533,1.3412015323449502
132,3.0,25.0,10.0,11.325213454085645,1.3460949214568751
133,3.0,26.0,10.0,11.324190903088422,1.348254416205127
134,3.0,27.0,10.0,11.325121325234978,1.3442108635373016
135,3.0,28.0,10.0,11.298022979302221,1.3477482347558671
136,3.0,29.0,10.0,11.293681335495034,1.347862876439848
137,3.0,30.0,10.0,11.290140066033237,1.3483587055806299
138,3.0,31.0,10.0,11.290793192443882,1.351245679893594
139,3.0,32.0,10.0,11.276036756916584,1.3603012349706811
140,3.0,33.0,10.0,11.26420731455725,1.3562233734642088
141,3.0,34.0,10.0,11.265173968431021,1.3539042139148643
142,3.0,35.0,10.0,11.246654350315614,1.3609048083589963
143,3.0,36.0,10.0,11.240852796000585,1.363228162267218
144,3.0,37.0,10.0,11.248316918104388,1.3652081428445557
145,3.0,38.0,10.0,11.2411109812955,1.3675604616120214
146,3.0,39.0,10.0,11.24409735626055,1.3691634938152886
147,3.0,40.0,10.0,11.249293144229934,1.374594652111846
148,3.0,41.0,10.0,11.24963985865891,1.3823948942437294
149,3.0,42.0,10.0,11.241336108586516,1.3857718521156384
150,3.0,43.0,10.0,11.232343616420273,1.3902589076392267
151,3.0,44.0,10.0,11.222415001555165,1.392462546383544
152,3.0,45.0,10.0,11.226534055299618,1.3951866339971686
153,3.0,46.0,10.0,11.21448911411592,1.3977111087986704
154,3.0,47.0,10.0,11.2180997237884,1.3892995246628455
155,3.0,48.0,10.0,11.220480657660193,1.3924265384736476
156,3.0,49.0,10.0,11.213208645828939,1.395215745078332
157,3.0,50.0,10.0,11.216287216824927,1.3883333290425268
158,3.0,51.0,10.0,11.213807818693738,1.3863061443026952
159,3.0,52.0,10.0,11.213296394607875,1.3856299775041887
160,3.0,53.0,10.0,11.213666531689471,1.3880940217437339
161,3.0,54.0,10.0,11.203168535931908,1.3878823521352175
162,4.0,1.0,10.0,14.215390815566874,1.3173093594677325
163,4.0,2.0,10.0,12.702966612027351,1.1569271691507967
164,4.0,3.0,10.0,12.164832014070834,1.0621693412829463
165,4.0,4.0,10.0,11.734506261724956,1.0148576678605135
166,4.0,5.0,10.0,11.55230150042073,1.016694242036455
167,4.0,6.0,10.0,11.463342026583877,1.0362282024737768
168,4.0,7.0,10.0,11.34034706284468,1.0256620800531349
169,4.0,8.0,10.0,11.263133439854803,0.9974577632991429
170,4.0,9.0,10.0,11.216073409220092,1.040506073501672
171,4.0,10.0,10.0,11.167113141790477,1.0455392297053068
172,4.0,11.0,10.0,11.128681287905914,1.0703498181495452
173,4.0,12.0,10.0,11.099203596606,1.102176181282813
174,4.0,13.0,10.0,11.066072572491382,1.1376199638152733
175,4.0,14.0,10.0,11.032159506961293,1.1536318924478566
176,4.0,15.0,10.0,11.031097734674479,1.174302805187289
177,4.0,16.0,10.0,11.034082364913179,1.1499129285567082
178,4.0,17.0,10.0,11.027917249116816,1.1629117140157965
179,4.0,18.0,10.0,11.02699573945374,1.162896261661852
180,4.0,19.0,10.0,10.993634244229511,1.188273162599914
181,4.0,20.0,10.0,10.999964339046493,1.2108246904054532
182,4.0,21.0,10.0,10.996883709669216,1.2160172652281251
183,4.0,22.0,10.0,10.985621991753813,1.2322960158388907
184,4.0,23.0,10.0,10.946252194695969,1.2206573763515285
185,4.0,24.0,10.0,10.937666882803395,1.2234339861930257
186,4.0,25.0,10.0,10.914080982048908,1.2241303815679776
187,4.0,26.0,10.0,10.894942874606363,1.2256264469307179
188,4.0,27.0,10.0,10.890483717003487,1.2417260767421268
189,4.0,28.0,10.0,10.874816035316766,1.2441514445003952
190,4.0,29.0,10.0,10.856437180708934,1.247735102436125
191,4.0,30.0,10.0,10.854319840886657,1.2499980457317879
192,4.0,31.0,10.0,10.844866959260237,1.2541606818455842
193,4.0,32.0,10.0,10.837465206021076,1.2533673628082365
194,4.0,33.0,10.0,10.843493516999086,1.2680812582163137
195,4.0,34.0,10.0,10.844529348118083,1.2651683643998393
196,4.0,35.0,10.0,10.848986176889609,1.2659028335466471
197,4.0,36.0,10.0,10.841252512896688,1.2651528442604714
198,4.0,37.0,10.0,10.84498429990251,1.2788776736973217
199,4.0,38.0,10.0,10.85120591611298,1.276364363264919
200,4.0,39.0,10.0,10.867410740245381,1.280940970483809
201,4.0,40.0,10.0,10.84601570690091,1.277807423478116
202,4.0,41.0,10.0,10.849010812337118,1.290048747860667
203,4.0,42.0,10.0,10.84034820870002,1.2912889449345206
204,4.0,43.0,10.0,10.836413073354136,1.3009833871907968
205,4.0,44.0,10.0,10.843085062918313,1.297129436866463
206,4.0,45.0,10.0,10.84292886906102,1.30070747856724
207,4.0,46.0,10.0,10.840981336679862,1.2984956558845224
208,4.0,47.0,10.0,10.83882264771117,1.2939311892687693
209,4.0,48.0,10.0,10.838077572150464,1.2901364325537286
210,4.0,49.0,10.0,10.836152934740733,1.2877508020287929
211,4.0,50.0,10.0,10.82984306255486,1.2871649558480929
212,4.0,51.0,10.0,10.829699493575877,1.2906563880313653
213,4.0,52.0,10.0,10.828155998053996,1.2967704533307278
214,4.0,53.0,10.0,10.836113778694118,1.3031541199621874
215,4.0,54.0,10.0,10.837005182650476,1.3064543827745647
216,5.0,1.0,10.0,14.311247883652054,1.2205962748167682
217,5.0,2.0,10.0,12.614258990089741,0.8691119630182238
218,5.0,3.0,10.0,12.123075851331958,0.8950288187682659
219,5.0,4.0,10.0,11.777133629015431,0.9298651139623714
220,5.0,5.0,10.0,11.503112980142202,0.9802198754364094
221,5.0,6.0,10.0,11.337916659932302,0.9352320202586191
222,5.0,7.0,10.0,11.326479092546219,0.9324952307055052
223,5.0,8.0,10.0,11.24168877959683,0.8903615800726692
224,5.0,9.0,10.0,11.218593961747708,0.8929080559160127
225,5.0,10.0,10.0,11.157223530597884,0.9579285421423195
226,5.0,11.0,10.0,11.110488954538626,0.9841476568204045
227,5.0,12.0,10.0,11.088224521074661,1.0268354367252666
