,features,k_value,n_folds,avg_rmse,std_rmse
28410,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",11.0,10.0,13.334338772401924,1.7280192872663
28411,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",12.0,10.0,13.338373132152421,1.7423113174332183
28412,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",13.0,10.0,13.313755652403632,1.754070072416257
28413,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",14.0,10.0,13.272472652918577,1.753418140429717
28414,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",15.0,10.0,13.26642994136993,1.7625241251993318
28415,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",16.0,10.0,13.25644172708947,1.7644680083222133
28416,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",17.0,10.0,13.255741187758568,1.7659899877652296
28417,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",18.0,10.0,13.233758913963126,1.761907121113521
28418,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",19.0,10.0,13.233969818925981,1.774319606690779
28419,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",20.0,10.0,13.212068219558967,1.7730427342927777
28420,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",1.0,10.0,16.013128586670376,1.5734123730601273
28421,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",2.0,10.0,14.289043147745293,1.0517298957216723
28422,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",3.0,10.0,13.945676786891777,1.4570148385971793
28423,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",4.0,10.0,13.500222638678887,1.556875382026036
28424,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",5.0,10.0,13.292141543675964,1.6488340443016365
28425,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",6.0,10.0,13.199464012770411,1.6897881089363864
28426,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",7.0,10.0,13.088194536528297,1.7664100033460712
28427,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",8.0,10.0,13.064249565135384,1.755155077416261
28428,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",9.0,10.0,13.03091996057544,1.7589810352062798
28429,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",10.0,10.0,12.989910099510078,1.7734546298506417
28430,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",11.0,10.0,12.982293260338295,1.7662262098828734
28431,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",12.0,10.0,12.96416754052581,1.7805824753305846
28432,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",13.0,10.0,12.95325507206275,1.7915556798254553
28433,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",14.0,10.0,12.950376411100715,1.7905593562554665
28434,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",15.0,10.0,12.938596685449337,1.7890159673159574
28435,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",16.0,10.0,12.914902205045603,1.7876014040540205
28436,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",17.0,10.0,12.91334956009056,1.7966032821422768
28437,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",18.0,10.0,12.93485323735997,1.8043786311095218
28438,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",19.0,10.0,12.914538793356325,1.796637304474577
28439,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'CategoryScore']",20.0,10.0,12.921646402975307,1.7898408351045
28440,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",1.0,10.0,17.452350973405906,2.2895162766592567
28441,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",2.0,10.0,15.100510035243673,1.2339066832270558
28442,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",3.0,10.0,14.081275125629091,1.453629190942331
28443,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",4.0,10.0,13.702273019833715,1.5267398858118086
28444,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",5.0,10.0,13.523241656762455,1.5555806881602505
28445,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",6.0,10.0,13.442209206115914,1.5982602825652434
28446,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",7.0,10.0,13.363721349985749,1.6419165422406292
28447,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",8.0,10.0,13.28775732623923,1.6826792376295165
28448,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",9.0,10.0,13.256878933771256,1.6834914405938135
28449,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",10.0,10.0,13.198767987162324,1.7034715399327365
28450,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",11.0,10.0,13.188293449996104,1.683705131651673
28451,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",12.0,10.0,13.183329968158498,1.7177915042039373
28452,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",13.0,10.0,13.16892112926818,1.7263826344669657
28453,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",14.0,10.0,13.150019931372862,1.7144616459820763
28454,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",15.0,10.0,13.140003728184416,1.729075840993512
28455,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",16.0,10.0,13.134080866766638,1.7263907742268367
28456,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",17.0,10.0,13.136256065996601,1.7373418895023913
28457,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",18.0,10.0,13.12882986928741,1.7347883057483364
28458,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",19.0,10.0,13.114876449440198,1.7309285825824832
28459,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'PlatformScore', 'CategoryScore']",20.0,10.0,13.108089238617728,1.7305367194066046
28460,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",1.0,10.0,18.463618218140876,7.29860661670148
28461,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",2.0,10.0,17.313330204737397,4.866801013773905
28462,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",3.0,10.0,16.466698651531935,3.0265248779838503
28463,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",4.0,10.0,15.232252168803146,1.814275134122947
28464,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",5.0,10.0,14.730244780064481,0.7349611855406666
28465,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",6.0,10.0,14.220532431686683,1.0211856174213583
28466,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",7.0,10.0,13.798594615717565,1.0856525016746752
28467,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",8.0,10.0,13.527412460788923,1.168051481914011
28468,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",9.0,10.0,13.405828805814375,1.2764514095319084
